               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.037883,            0.030736,           0.0022744,             0.60009,             0.63702,             0.65828,             0.30106,            0.031244,            0.014702,           0.0030682,            0.006535,            0.006535,            0.006535
                  37,            0.037742,            0.030769,           0.0018017,             0.54645,             0.65421,             0.61731,             0.28714,            0.031576,             0.01468,            0.006856,            0.006436,            0.006436,            0.006436
                  38,            0.037107,            0.029491,           0.0022151,              0.5727,             0.60413,             0.63041,             0.27456,            0.033579,            0.015118,           0.0079552,            0.006337,            0.006337,            0.006337
                  39,            0.037147,            0.031364,           0.0018809,             0.52198,             0.65248,              0.6204,             0.28236,            0.031291,            0.015079,           0.0070162,            0.006238,            0.006238,            0.006238
                  40,            0.037551,            0.030548,           0.0017331,             0.54754,             0.54853,             0.56618,             0.23911,            0.033995,             0.01605,           0.0038862,            0.006139,            0.006139,            0.006139
                  41,            0.037414,            0.030562,           0.0023447,             0.56961,             0.62327,              0.6369,             0.30008,            0.030961,            0.015015,           0.0048929,             0.00604,             0.00604,             0.00604
                  42,            0.037327,            0.030352,           0.0028633,             0.49733,             0.59963,              0.5378,             0.23869,            0.034317,            0.015415,           0.0053059,            0.005941,            0.005941,            0.005941
                  43,            0.036903,            0.030185,           0.0021068,             0.53858,             0.54988,             0.56379,             0.25834,            0.031923,            0.015091,           0.0082883,            0.005842,            0.005842,            0.005842
                  44,            0.037126,              0.0301,           0.0020353,             0.58616,             0.63792,             0.64188,             0.28859,            0.031084,            0.014992,           0.0037642,            0.005743,            0.005743,            0.005743
                  45,            0.036317,            0.029691,           0.0015445,              0.6197,             0.67427,              0.6818,              0.3322,            0.028968,            0.014251,           0.0051979,            0.005644,            0.005644,            0.005644
                  46,            0.036334,            0.029454,           0.0016366,             0.55059,             0.63677,             0.62892,              0.2992,            0.029765,            0.014462,           0.0030423,            0.005545,            0.005545,            0.005545
                  47,            0.035949,            0.030132,           0.0016951,             0.59338,             0.64569,             0.67441,             0.32582,            0.029649,            0.014453,           0.0034679,            0.005446,            0.005446,            0.005446
                  48,            0.035981,            0.029639,           0.0018251,             0.59811,             0.63013,             0.63511,             0.30582,            0.029933,            0.014685,           0.0027995,            0.005347,            0.005347,            0.005347
                  49,             0.03615,            0.029211,           0.0019006,             0.59967,             0.66089,             0.67359,             0.32191,            0.030147,              0.0146,           0.0041167,            0.005248,            0.005248,            0.005248
