               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.035371,            0.029817,           0.0019259,             0.58875,             0.65235,             0.65373,             0.32214,            0.030017,            0.015039,           0.0079465,            0.006535,            0.006535,            0.006535
                  37,            0.035193,            0.030061,           0.0021485,             0.60854,             0.67048,             0.67344,             0.32332,            0.029725,             0.01452,           0.0089886,            0.006436,            0.006436,            0.006436
                  38,            0.034848,            0.028653,           0.0019258,             0.64633,             0.61687,             0.66827,             0.30503,            0.031403,            0.015405,           0.0064232,            0.006337,            0.006337,            0.006337
                  39,            0.034512,            0.030424,           0.0018401,             0.61066,             0.67596,             0.67869,             0.33174,            0.029335,            0.014483,            0.007794,            0.006238,            0.006238,            0.006238
                  40,             0.03505,            0.029465,           0.0016549,             0.54639,              0.4901,              0.5212,              0.2299,            0.034021,            0.017029,           0.0064748,            0.006139,            0.006139,            0.006139
                  41,            0.034385,            0.029539,           0.0020889,             0.59718,             0.64832,             0.63983,             0.31072,            0.030286,            0.014969,           0.0030945,             0.00604,             0.00604,             0.00604
                  42,             0.03459,            0.029371,            0.002855,             0.61111,             0.68974,             0.66618,             0.32768,             0.02888,            0.014494,           0.0079638,            0.005941,            0.005941,            0.005941
                  43,            0.034145,            0.029086,           0.0016916,             0.57105,             0.63044,             0.61484,             0.30622,            0.031033,            0.014884,             0.01077,            0.005842,            0.005842,            0.005842
                  44,             0.03442,            0.029088,           0.0019272,             0.63699,              0.6206,             0.66735,             0.31988,            0.029474,             0.01523,           0.0033608,            0.005743,            0.005743,            0.005743
                  45,            0.033849,            0.028695,           0.0014965,             0.62107,             0.68387,             0.67036,             0.32071,            0.029863,            0.014666,           0.0057324,            0.005644,            0.005644,            0.005644
                  46,            0.033912,            0.028505,           0.0017161,             0.59269,             0.67683,             0.66964,             0.33384,            0.028592,            0.014701,           0.0051787,            0.005545,            0.005545,            0.005545
                  47,            0.033631,            0.029074,           0.0013764,             0.59677,             0.70529,             0.68372,              0.3367,            0.028042,            0.014626,           0.0064489,            0.005446,            0.005446,            0.005446
                  48,            0.033604,            0.028467,           0.0015976,             0.65953,             0.70026,             0.72802,             0.36442,            0.028967,            0.014385,           0.0069312,            0.005347,            0.005347,            0.005347
                  49,            0.033425,            0.028246,           0.0017089,              0.5944,             0.68385,             0.67143,             0.31492,            0.030541,            0.014653,           0.0076583,            0.005248,            0.005248,            0.005248
                  50,            0.033469,            0.028617,           0.0015985,             0.62788,             0.67434,             0.67862,             0.33715,            0.029913,            0.014739,           0.0055316,            0.005149,            0.005149,            0.005149
                  51,            0.032987,            0.028951,           0.0015464,             0.59213,             0.67761,             0.66041,             0.33029,            0.029155,            0.014899,            0.011947,             0.00505,             0.00505,             0.00505
