               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.042966,            0.033356,           0.0035713,             0.70478,             0.54217,             0.63507,             0.28306,            0.035938,            0.015141,            0.004924,            0.006535,            0.006535,            0.006535
                  37,            0.042593,            0.033307,           0.0032594,             0.60378,             0.57619,             0.63093,             0.28678,            0.035039,            0.014689,           0.0060375,            0.006436,            0.006436,            0.006436
                  38,            0.041776,            0.031822,           0.0035378,              0.5292,             0.53598,             0.50093,             0.21134,            0.039347,            0.016055,           0.0072502,            0.006337,            0.006337,            0.006337
                  39,            0.042295,            0.033909,           0.0029534,             0.56147,             0.61156,              0.6284,             0.27283,            0.034757,            0.015007,           0.0087643,            0.006238,            0.006238,            0.006238
                  40,            0.042508,            0.032804,           0.0033746,             0.57724,             0.64641,             0.63139,             0.29666,            0.034737,            0.015059,           0.0083453,            0.006139,            0.006139,            0.006139
                  41,            0.041911,            0.032802,           0.0035282,             0.59922,             0.57933,             0.65516,             0.30069,            0.033872,             0.01504,           0.0045042,             0.00604,             0.00604,             0.00604
                  42,            0.041847,            0.032778,           0.0039662,             0.57344,             0.59451,             0.64008,             0.29528,            0.033734,            0.015116,           0.0049233,            0.005941,            0.005941,            0.005941
                  43,            0.042035,            0.032855,           0.0029846,             0.58103,             0.61101,             0.63148,             0.29619,             0.03464,            0.014576,           0.0057531,            0.005842,            0.005842,            0.005842
                  44,            0.042039,            0.032583,            0.003318,             0.61068,             0.63166,             0.65561,             0.29269,            0.033062,            0.014509,           0.0063366,            0.005743,            0.005743,            0.005743
                  45,            0.040963,            0.032105,           0.0026195,             0.56156,             0.60417,             0.64877,             0.30172,            0.032134,            0.014656,            0.004936,            0.005644,            0.005644,            0.005644
                  46,            0.040894,            0.032065,           0.0027476,             0.59145,             0.59818,             0.65501,              0.2951,            0.033637,            0.014758,           0.0041767,            0.005545,            0.005545,            0.005545
                  47,            0.041082,             0.03268,           0.0025937,             0.62012,             0.60802,             0.65912,             0.29231,            0.034318,            0.014725,           0.0027041,            0.005446,            0.005446,            0.005446
                  48,            0.041189,            0.032216,           0.0028259,             0.63523,             0.62177,             0.67151,             0.32086,            0.031891,            0.014537,           0.0043184,            0.005347,            0.005347,            0.005347
                  49,            0.040961,            0.031767,           0.0028312,             0.58784,             0.61268,             0.62983,             0.28651,            0.033486,             0.01448,           0.0038718,            0.005248,            0.005248,            0.005248
                  50,            0.040703,            0.032358,           0.0026324,             0.63647,             0.60854,             0.66846,               0.314,            0.033383,            0.014393,           0.0049183,            0.005149,            0.005149,            0.005149
                  51,            0.039778,            0.032414,           0.0026981,             0.60035,             0.64556,             0.66347,             0.31709,            0.032703,             0.01446,           0.0053337,             0.00505,             0.00505,             0.00505
                  52,            0.040016,            0.031835,           0.0025582,             0.64691,             0.62031,             0.65207,             0.30761,            0.034408,            0.014553,           0.0043812,            0.004951,            0.004951,            0.004951
                  53,            0.040154,            0.032159,           0.0025932,             0.59699,             0.65886,             0.67411,             0.30956,            0.032182,            0.014401,           0.0049083,            0.004852,            0.004852,            0.004852
                  54,            0.039581,            0.031044,           0.0025418,             0.59813,              0.6515,             0.68478,             0.32395,            0.031047,            0.014346,           0.0040845,            0.004753,            0.004753,            0.004753
                  55,            0.039513,            0.031618,           0.0024825,             0.58967,             0.65803,             0.66522,             0.31579,             0.03148,            0.014685,           0.0042835,            0.004654,            0.004654,            0.004654
                  56,            0.039654,            0.033102,           0.0023386,             0.62467,             0.66984,             0.68595,             0.32452,            0.031129,            0.014221,           0.0059343,            0.004555,            0.004555,            0.004555
                  57,            0.039023,            0.032183,           0.0024742,             0.61323,             0.66789,             0.67793,             0.30315,            0.032042,            0.014395,           0.0052028,            0.004456,            0.004456,            0.004456
                  58,            0.038805,            0.031864,           0.0022289,             0.59769,             0.64172,             0.64574,             0.30468,            0.032364,            0.014241,           0.0041892,            0.004357,            0.004357,            0.004357
                  59,            0.038681,            0.031279,           0.0020655,             0.60099,             0.65345,             0.64736,             0.29661,            0.032491,            0.014668,           0.0061447,            0.004258,            0.004258,            0.004258
                  60,            0.038306,            0.030941,           0.0022614,             0.63024,             0.66117,             0.68021,             0.31735,            0.031691,            0.014284,           0.0032297,            0.004159,            0.004159,            0.004159
                  61,            0.039501,             0.03221,           0.0028365,             0.60389,             0.66766,             0.67531,             0.32227,            0.030789,            0.014493,           0.0038843,             0.00406,             0.00406,             0.00406
                  62,            0.038928,            0.031739,           0.0020457,             0.62323,             0.67325,              0.6823,             0.32481,            0.031172,            0.014643,           0.0046742,            0.003961,            0.003961,            0.003961
                  63,            0.037816,            0.031696,           0.0023303,             0.57517,             0.67743,             0.65899,             0.31389,            0.031703,            0.014445,           0.0040298,            0.003862,            0.003862,            0.003862
                  64,            0.038077,            0.032486,           0.0023075,             0.65277,             0.66458,             0.70386,             0.34387,            0.031635,            0.014311,           0.0035094,            0.003763,            0.003763,            0.003763
                  65,            0.037969,             0.03143,            0.002625,             0.63289,             0.68361,             0.69268,              0.3321,            0.031895,            0.014363,           0.0052627,            0.003664,            0.003664,            0.003664
                  66,            0.038734,            0.032556,            0.001919,             0.61437,             0.67791,             0.67812,             0.32693,            0.032128,            0.014731,            0.004887,            0.003565,            0.003565,            0.003565
                  67,            0.038193,            0.032047,           0.0021135,             0.60549,             0.65951,             0.68881,             0.33377,            0.030591,            0.014483,           0.0032947,            0.003466,            0.003466,            0.003466
                  68,            0.037945,            0.031942,           0.0022662,             0.61367,             0.67114,             0.66457,              0.3247,            0.030231,            0.014622,           0.0035564,            0.003367,            0.003367,            0.003367
                  69,            0.037897,            0.031706,           0.0017044,             0.61751,             0.68195,             0.69358,             0.33713,            0.029951,            0.014255,           0.0042304,            0.003268,            0.003268,            0.003268
